gene	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28
AT4G39770	8.18682401516041	8.03171993247715	7.91287054463167	9.27569728324417	9.59394600848626	9.13530279005906	8.13998640425642	8.57775995604806	8.40553800369663	8.99177558939182	8.99780980610093	8.90360452696518	9.0692659818369	8.83771399597476	8.88977438426368	8.43780025208017	8.33027013968962	8.4135481107636	9.08647265646956	9.06133354569224	9.62910007543127	9.46044690471847
AT4G39940	11.1660200062538	10.6942469454059	10.7361279887373	12.2883280722024	12.1676120120942	12.368695158536	10.8609670484521	10.8686128071728	11.4254604001563	11.8330179014498	11.7800884168288	12.2984080450595	12.1812801094112	12.829749426023	12.6861523406575	11.0482564942383	9.89744043584959	10.5214572958271	12.3200012983047	12.2990979625879	11.7842293019889	11.8178692992485
AT4G39950	9.92676832794387	9.63807862259784	10.6923913566403	11.830455973639	11.3934250475072	11.714641924243	9.80509451978866	9.9345099605252	10.7708623041022	11.3672996102559	11.4066156305397	11.5724307791892	11.9074173457711	12.5436739546082	12.3270420148919	10.2219307284247	8.15907212956325	9.69316936450416	11.8468257220271	11.8696111113018	10.4079968587849	10.3876387088133
AT5G01075	8.30791430652305	8.13520983649075	8.12383454301357	8.63000978446347	8.80306933865757	8.74821069500718	8.35679910532913	8.26473517920577	8.22887557209058	8.7147670591236	8.71016788207887	8.38493626248183	8.85150120901433	8.76441419656117	8.93698556353114	8.21003612529384	7.91911340903195	8.11200901832506	8.73044006424758	8.73863328410941	8.59261763556554	8.35749255272799
AT5G01480	7.15035861022836	7.25247759650982	7.32235396791464	7.4848898220896	7.6204235904806	7.41860973664105	6.85192214707425	7.19237548756718	7.12466793246227	7.58854791112284	7.50637746915128	7.6591681549562	7.35241593659996	7.45067632447596	7.35396080319255	7.427649898311	7.20218549352014	7.39503872060093	7.52054362432266	7.48389585573595	7.1622526084203	7.03868912956258
AT5G01790	9.11963812251244	8.85188176781688	8.44360110566862	9.69451740855353	9.88359043994937	10.0109723315352	8.96095308390963	8.89669507238606	9.01774535170164	9.58227858668969	9.63592761072768	9.79180080645959	10.0960093733866	10.1413599625683	10.3971891710178	8.59352843257924	8.324387084452	8.72288990378227	9.90277995692738	9.98535691576343	8.9252952535011	8.88337516357333
AT5G01810	9.81179862719715	9.960467426727	9.7402483624366	11.172717486542	11.720136074897	11.6729525321295	10.3518166547045	9.81230501647377	10.5738086795967	10.7916985160857	10.9479312185909	10.9956380482897	11.7518911585143	11.4443536577285	11.7387231563962	9.6820687091848	9.60216924132093	9.87679030970612	11.4082825148446	11.3972043688671	9.83881993768136	9.90038066770834
AT5G01830	8.44503011629564	8.54939633113388	8.55365422943621	8.83502538767221	8.75635897757109	8.58839702347224	8.22293788258654	8.02327716603875	8.53012841034526	8.9947381934931	9.22307499359614	8.91566284733012	8.67224254783301	9.22875262677927	9.28865176016906	8.18040998169048	8.324387084452	8.26721114897422	8.86042374540097	9.06436835386269	8.214242696993	8.31785990686297
AT5G01840	8.60039305597686	8.56204097990232	8.65440217758332	8.64431316355872	8.33576332581081	8.17191603221932	8.06977517713281	8.14449068943705	8.41348257931421	9.01383264639043	9.27024332947345	8.99931001821633	8.81075484354916	9.59277647084021	9.49272894415776	7.79229115402517	8.01914360998814	8.24900774410392	9.10466003543254	8.9270509654861	8.54774288729418	8.52895845426868
AT5G01900	6.98557727991322	7.25247759650982	7.36292871064221	7.8062844183996	7.07020616198617	7.07123400970502	7.15208454122723	7.39423951953076	7.12466793246227	7.2627584041853	7.47895493042677	7.4434933155112	7.46339072737633	7.63197707741107	7.72757005256305	7.34378322784232	6.99520911344135	6.85192214707425	7.6258179011807	6.85192214707425	8.3120383253735	7.82248409884422
AT5G02190	7.8583801245893	7.68736006568381	7.61038063176502	8.04801028207314	8.15947883362256	8.18773158993688	7.44905869677706	7.45996335501277	7.68656462930089	8.23562900464469	8.41850667520438	8.41425673365702	8.10828291828901	8.16139748539864	8.15692719558512	7.67860194758496	7.51833333239524	7.92001986654928	8.14291218851468	8.25406557627825	7.78545429130763	7.82248409884422
AT5G02270	9.8532785547413	9.89617078923369	9.80823923403057	11.2112661210079	11.4234776157394	11.5006412423384	10.453098145745	10.1510126652719	10.2040516101328	10.6882436774361	10.8310574882114	11.084640067537	11.3246568465668	11.2441148093786	11.4854107373559	10.0647192988642	9.84754094253127	9.7009985549862	11.2013589334291	11.2265322331846	9.7653403303128	9.75990874487303
AT5G02390	6.98557727991322	7.11943423812531	6.85192214707425	7.40477801888593	7.47773693492096	7.47754073780707	7.18061558872019	7.22811474021102	7.38141685662836	7.27335693117054	7.25482712800396	7.31722733913283	7.40285551527209	7.40682104105612	7.25163845023166	7.24147396873568	7.32522124764776	7.09595704662569	7.44455168012557	7.2898375092729	7.32475511755862	7.17496271044869
AT5G02400	7.81637446374754	7.83515578601202	7.7808305930893	8.26134388734147	8.30829707484964	8.25243051161471	7.81306979140183	7.72685242046578	7.8874621948042	8.28196179374176	8.17275331100317	8.36998745193043	8.26166776214061	8.16716641023223	8.31532015313597	7.72935223143708	8.10975491546582	7.61560127375617	8.25147755175274	8.27747106320127	7.93305153410785	7.90221804066231
AT5G02480	11.5063820195965	11.2790555291397	11.2299401691752	12.2930149156475	12.4753582268099	12.4398996758755	10.8672060229458	10.4048758574051	11.5476254771623	12.4899148395843	12.7041949695196	12.6467159620753	11.9809167831481	12.0490877506536	11.9404591722543	11.6526893807136	11.6199173714044	11.7364164671698	12.2861245481969	12.3444547351926	10.700902860526	10.6846295836516
AT5G02510	6.98557727991322	7.08367718285474	6.85192214707425	6.97949190968085	7.07020616198617	7.19818690949631	7.15208454122723	7.01270283089682	6.97404303616527	7.06320069162273	7.04233296829021	7.20155930510326	7.20670738066464	7.14567788736151	7.11041804195026	7.09874436047878	6.85192214707425	6.85192214707425	7.09527815401665	7.16216705938382	6.85192214707425	7.17496271044869
AT5G02890	8.7234493976291	8.6967991642469	8.479750068866	9.23812814108515	9.41402668960295	9.46403815735377	8.69948555392506	8.3183023779531	8.63302758351496	9.40716422033568	9.4924754935442	9.53488382975583	9.68768734735676	9.43530664237656	9.64999397943356	8.60045921979811	8.22570128253622	8.54797353498373	9.42916548309857	9.53698734855644	9.59198348247889	9.2346181632358
AT5G03090	6.85192214707425	6.85192214707425	6.85192214707425	7.25416049325464	6.85192214707425	7.2755037178446	7.1204920766109	7.01270283089682	7.15061158449329	7.16496450925098	7.04233296829021	7.20155930510326	7.25392345511798	6.85192214707425	7.2170048490578	6.85192214707425	6.85192214707425	6.85192214707425	7.19567394255641	7.19164818742361	7.35708263947123	7.30782614446653
AT5G03120	9.08420968179496	8.79767644216319	8.54886811281874	9.92338710227528	9.65819763899206	9.56935171235577	8.89803062501052	9.28534367958432	9.01774535170164	9.42871607460697	9.53127576639507	9.31769328329148	9.7844655926031	9.44761232383049	10.0916084588095	8.83277083734804	8.52403328881723	8.93607764911503	9.68708900255333	9.62383651262333	9.54679046231534	9.45226313787461
AT5G03150	8.88141958773858	8.55362611045148	8.33932693652119	9.19253736031503	9.50333682697886	9.36661374384655	8.59720017982807	8.42849064747346	8.73397079498647	9.26651916362013	9.57877100996748	9.27451326916118	9.12457646706133	9.22875262677927	9.23058041937363	8.9633790724266	8.62840411228905	8.58503269738643	9.23638527507022	9.34726499004143	9.23444125048247	9.20538187576325
AT5G03350	9.36239119564861	10.5884858404016	10.9978310130164	12.0177154567435	11.0707791506377	10.8204185641964	10.9815763816855	10.7192515314175	9.33728673800438	10.6479928857849	11.958848783201	11.420577987208	11.6639918239345	11.1760628348694	11.5807543711375	10.719049151719	10.4208150696001	9.88365574096254	11.379378570335	11.4771282579723	11.8914533127395	11.960261113678
AT5G03670	8.3387335927096	8.09764240269266	7.93876334224383	8.76928866376424	9.21112360190249	9.13709252985289	8.49440939665121	8.21251149347292	8.6363110266029	8.47058120546843	8.48375691850442	8.75741385206767	9.20853659693292	8.90701131423645	8.98922654534095	8.17034604399473	7.8552729921829	8.3705205923304	8.95156690828562	8.85784942401135	8.66389252824388	8.61006546703005
AT5G03680	7.82494260610795	7.89240262813491	7.76015912504161	8.30024981183266	8.46791661922683	8.02196864194156	7.91210913619131	7.79357498837127	7.94516711901083	8.13643959350333	8.18468212607877	8.30013774118167	8.22819617032337	8.42218273112706	8.2222755325104	7.79229115402517	7.61493923412723	8.0169549946531	8.24538925482127	8.27166675640594	8.0480597271693	7.78838843438694
AT5G03700	7.58832800260867	8.18325439421201	7.82067826889009	8.4006989714244	8.37573675888993	8.41363609580866	7.66990543301108	7.71280731170125	7.86056968589713	8.67352394764369	8.73618865272886	8.37748653206891	8.76865052634071	8.30711419388515	8.14335233626577	7.87857739956302	7.94514510039433	7.80174481506265	8.45095536172347	8.4975246222245	7.66380741809462	7.71559397436715
AT5G03960	7.43082804234153	7.36794442865174	7.20005510736453	7.67741820424281	7.56916958925441	7.74914106521979	7.3157704422412	7.39423951953076	7.45823699568582	7.61142050430916	7.65013322687933	7.57397274106621	7.76785067485671	7.74913545056984	7.99118355131942	6.85192214707425	6.99520911344135	6.85192214707425	7.70651053695853	7.72849528909937	7.71828575641877	7.59139057732357
